[FTL] 2016-07-30 06:59:23 | Error: FATAL:  database "lisk_main" does not exist
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 7838076639178338424L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 9824483707960713406L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 12144255005482188703L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 2037513790649430470L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 2371768942272884594L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 309766985700168161L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 17110047919889272525L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 17271297386479765505L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 11229203525038722103L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 1998811414849260567L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 1039287838469525702L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 9829702676947904862L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 11776976371460504977L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 10718602563400390049L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 3978875557882351502L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 15196907279410793719L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 14846615469478045551L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 9528507096611161860L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 5225235021585670513L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 8579664070066716758L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 13607583239938732846L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 2460251951231579923L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 1081724521551096934L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 11004588490103196952L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 3038510178697972178L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 11506830473925742632L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 1156554003019098747L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 15675505605575781355L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 1330932780504881464L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 2393437289429474816L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 9373453086736696113L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 13996264772258038665L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 15441829200899900957L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 9617151563281131501L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 11231201826468807624L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 8696372244926065755L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 13227119536266737242L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 5179180534922237219L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 15357346183081898956L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 5728878764625100394L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 15692920659979620367L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 9950029393097476480L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 13047943150548380336L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 677098303101863197L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 68059329122227204L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 15300035861842713585L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 10881167371402274308L
[inf] 2016-07-30 07:43:06 | Forging enabled on account: 6726252519465624456L
[inf] 2016-07-30 07:43:06 | Forged new block id: 15999137352450924565 height: 2 round: 1 slot: 575538 reward: 0
[WRN] 2016-07-30 07:43:10 | Removing peer GET http://114.215.154.232:8000/peer/list
[WRN] 2016-07-30 07:43:10 | Removing peer POST http://84.118.204.45:8000/peer/blocks
[WRN] 2016-07-30 07:43:10 | Removing peer POST http://111.207.165.187:8000/peer/blocks
[inf] 2016-07-30 07:43:10 | Forged new block id: 1848161012220875629 height: 3 round: 1 slot: 575539 reward: 0
[WRN] 2016-07-30 07:43:10 | Removing peer POST http://67.44.208.30:8000/peer/blocks
[WRN] 2016-07-30 07:43:14 | Removing peer POST http://121.42.181.194:8000/peer/blocks
[WRN] 2016-07-30 07:43:14 | Removing peer POST http://114.215.178.57:8000/peer/blocks
[WRN] 2016-07-30 07:43:14 | Removing peer POST http://62.255.195.70:8000/peer/blocks
